"date","NDVI","mission","type","year","yday"
2013-03-19,0.290325207186676,"landsat 8","forest",2013,78
2013-03-29,0.314239555885593,"landsat 8","forest",2013,88
2013-04-20,0.395561164081022,"landsat 8","forest",2013,110
2013-04-22,0.395561164081022,"landsat 8","forest",2013,112
2013-04-29,0.408817044624724,"landsat 8","forest",2013,119
2013-05-15,0.678977509455579,"landsat 8","forest",2013,135
2013-05-22,0.703368122311019,"landsat 8","forest",2013,142
2013-05-24,0.832910596781562,"landsat 8","forest",2013,144
2013-05-31,0.832910596781561,"landsat 8","forest",2013,151
2013-06-07,0.832259999496887,"landsat 8","forest",2013,158
2013-06-09,0.832259999496887,"landsat 8","forest",2013,160
2013-06-16,0.813003359662786,"landsat 8","forest",2013,167
2013-06-23,0.816398633733304,"landsat 8","forest",2013,174
2013-06-25,0.83865025632802,"landsat 8","forest",2013,176
2013-07-02,0.828809416018262,"landsat 8","forest",2013,183
2013-07-09,0.838888517382197,"landsat 8","forest",2013,190
2013-07-11,0.849520534260286,"landsat 8","forest",2013,192
2013-07-18,0.853383709657367,"landsat 8","forest",2013,199
2013-07-25,0.853542042157812,"landsat 8","forest",2013,206
2013-07-27,0.848946395657455,"landsat 8","forest",2013,208
2013-08-03,0.864803516719386,"landsat 8","forest",2013,215
2013-08-10,0.864864408729975,"landsat 8","forest",2013,222
2013-08-12,0.879795689199359,"landsat 8","forest",2013,224
2013-08-19,0.82188307159515,"landsat 8","forest",2013,231
2013-08-26,0.821351180768353,"landsat 8","forest",2013,238
2013-08-28,0.825778037278077,"landsat 8","forest",2013,240
2013-09-04,0.799975334299903,"landsat 8","forest",2013,247
2013-09-11,0.800560095764975,"landsat 8","forest",2013,254
2013-09-13,0.825535848502707,"landsat 8","forest",2013,256
2013-09-27,0.800500459525165,"landsat 8","forest",2013,270
2013-09-29,0.800500459525165,"landsat 8","forest",2013,272
2013-10-06,0.775406364261772,"landsat 8","forest",2013,279
2013-10-13,0.77307147869163,"landsat 8","forest",2013,286
2013-10-22,NA,"landsat 8","forest",2013,295
2013-10-29,NA,"landsat 8","forest",2013,302
2013-11-07,0.526080359283557,"landsat 8","forest",2013,311
2013-11-14,0.52066790106416,"landsat 8","forest",2013,318
2013-11-23,0.44621238732143,"landsat 8","forest",2013,327
2013-11-30,0.443674802528202,"landsat 8","forest",2013,334
2013-12-02,0.423811609772326,"landsat 8","forest",2013,336
2013-12-09,0.225840848802132,"landsat 8","forest",2013,343
2013-12-16,0.434867983722085,"landsat 8","forest",2013,350
2013-12-18,0.581306569826434,"landsat 8","forest",2013,352
2014-01-03,NA,"landsat 8","forest",2014,3
2014-01-17,0.549362033605576,"landsat 8","forest",2014,17
2014-01-19,0.549362033605576,"landsat 8","forest",2014,19
2014-02-02,0.596693271398544,"landsat 8","forest",2014,33
2014-02-11,0.291954763869942,"landsat 8","forest",2014,42
2014-02-18,0.291954763869942,"landsat 8","forest",2014,49
2014-02-27,0.269224896731155,"landsat 8","forest",2014,58
2014-03-06,0.269555381507408,"landsat 8","forest",2014,65
2014-03-15,0.280179592734155,"landsat 8","forest",2014,74
2014-03-22,0.331457464668461,"landsat 8","forest",2014,81
2014-03-24,0.332225869222467,"landsat 8","forest",2014,83
2014-03-31,0.317262202607036,"landsat 8","forest",2014,90
2014-04-07,0.317438357635489,"landsat 8","forest",2014,97
2014-04-09,0.350522033249761,"landsat 8","forest",2014,99
2014-04-16,0.329384799705274,"landsat 8","forest",2014,106
2014-04-23,0.396050869783662,"landsat 8","forest",2014,113
2014-04-25,0.437312093036644,"landsat 8","forest",2014,115
2014-05-09,0.584629049461829,"landsat 8","forest",2014,129
2014-05-11,0.584629049461829,"landsat 8","forest",2014,131
2014-05-18,0.670462044474077,"landsat 8","forest",2014,138
2014-05-25,0.679502324104646,"landsat 8","forest",2014,145
2014-05-27,0.764877603567036,"landsat 8","forest",2014,147
2014-06-03,0.83860747999199,"landsat 8","forest",2014,154
2014-06-10,0.837662500977462,"landsat 8","forest",2014,161
2014-06-12,0.816083690065161,"landsat 8","forest",2014,163
2014-06-19,0.806372756439458,"landsat 8","forest",2014,170
2014-06-26,0.808691692546552,"landsat 8","forest",2014,177
2014-06-28,0.841007611870249,"landsat 8","forest",2014,179
2014-07-05,0.840835158367929,"landsat 8","forest",2014,186
2014-07-14,0.841162085533142,"landsat 8","forest",2014,195
2014-07-21,0.833608324208926,"landsat 8","forest",2014,202
2014-07-28,0.832518844219033,"landsat 8","forest",2014,209
2014-07-30,0.830200274080879,"landsat 8","forest",2014,211
2014-08-06,0.816458244595058,"landsat 8","forest",2014,218
2014-08-13,0.834496043258807,"landsat 8","forest",2014,225
2014-08-15,0.847257051644565,"landsat 8","forest",2014,227
2014-08-22,0.843045925645631,"landsat 8","forest",2014,234
2014-08-29,0.843694702430268,"landsat 8","forest",2014,241
2014-08-31,0.843694702430267,"landsat 8","forest",2014,243
2014-09-07,0.837977420249332,"landsat 8","forest",2014,250
2014-09-14,0.837257427175122,"landsat 8","forest",2014,257
2014-09-16,0.833781714861972,"landsat 8","forest",2014,259
2014-09-23,0.81466995165408,"landsat 8","forest",2014,266
2014-09-30,0.81375943973579,"landsat 8","forest",2014,273
2014-10-02,0.737477493423852,"landsat 8","forest",2014,275
2014-10-09,0.73542177276136,"landsat 8","forest",2014,282
2014-10-16,0.73542177276136,"landsat 8","forest",2014,289
2014-10-25,0.57743318674762,"landsat 8","forest",2014,298
2014-11-01,0.577431047143285,"landsat 8","forest",2014,305
2014-11-03,0.554268170148134,"landsat 8","forest",2014,307
2014-11-10,0.423701036156943,"landsat 8","forest",2014,314
2014-11-17,0.388846663466083,"landsat 8","forest",2014,321
2014-11-19,0.377364194953276,"landsat 8","forest",2014,323
2014-11-26,0.377364194953276,"landsat 8","forest",2014,330
2014-12-03,0.423893005295014,"landsat 8","forest",2014,337
2014-12-19,NA,"landsat 8","forest",2014,353
