"date","NDVI","mission","type","year","yday","NDVIMissionPred","MissionResid","ReprojPred","NDVIReprojected"
2013-03-19,0.238064210872221,"landsat 8","crop",2013,78,0.254354488895744,-0.016290278023523,0.254354488895744,0.238064210872221
2013-03-29,0.234430541821914,"landsat 8","crop",2013,88,0.269589841843551,-0.0351593000216373,0.269589841843551,0.234430541821914
2013-04-20,0.302546070909466,"landsat 8","crop",2013,110,0.325517683540834,-0.022971612631368,0.325517683540834,0.302546070909466
2013-04-22,0.302546070909466,"landsat 8","crop",2013,112,0.330350523446628,-0.0278044525371617,0.330350523446628,0.302546070909466
2013-04-29,0.32785518912348,"landsat 8","crop",2013,119,0.3457251534269,-0.0178699643034202,0.3457251534269,0.32785518912348
2013-05-15,0.377684247417879,"landsat 8","crop",2013,135,0.375988282474658,0.00169596494322105,0.375988282474658,0.377684247417879
2013-05-22,0.383180562390728,"landsat 8","crop",2013,142,0.392297416374501,-0.00911685398377327,0.392297416374501,0.383180562390728
2013-05-24,0.407177102987044,"landsat 8","crop",2013,144,0.397931944695639,0.00924515829140482,0.397931944695639,0.407177102987044
2013-05-31,0.407177102987044,"landsat 8","crop",2013,151,0.422346411665011,-0.0151693086779666,0.422346411665011,0.407177102987044
2013-06-07,0.499671222606145,"landsat 8","crop",2013,158,0.45539563483859,0.044275587767555,0.45539563483859,0.499671222606145
2013-06-09,0.499671222606145,"landsat 8","crop",2013,160,0.466539355103473,0.0331318675026724,0.466539355103473,0.499671222606145
2013-06-16,0.543526630617433,"landsat 8","crop",2013,167,0.511236280083212,0.0322903505342214,0.511236280083212,0.543526630617433
2013-06-23,0.572396585447919,"landsat 8","crop",2013,174,0.563357881690256,0.00903870375766291,0.563357881690256,0.572396585447919
2013-06-25,0.678994591773377,"landsat 8","crop",2013,176,0.579220824137169,0.0997737676362076,0.579220824137169,0.678994591773377
2013-07-02,0.714674376815248,"landsat 8","crop",2013,183,0.636331450317999,0.0783429264972489,0.636331450317999,0.714674376815248
2013-07-09,0.71741722730491,"landsat 8","crop",2013,190,0.692767730621006,0.024649496683904,0.692767730621006,0.71741722730491
2013-07-11,0.72079015938,"landsat 8","crop",2013,192,0.708185020954538,0.0126051384254617,0.708185020954538,0.72079015938
2013-07-18,0.786730579377855,"landsat 8","crop",2013,199,0.757775872836333,0.0289547065415221,0.757775872836333,0.786730579377855
2013-07-25,0.801710420262892,"landsat 8","crop",2013,206,0.798095297350262,0.00361512291262955,0.798095297350262,0.801710420262892
2013-07-27,0.81818747589533,"landsat 8","crop",2013,208,0.807542481070086,0.0106449948252443,0.807542481070086,0.81818747589533
2013-08-03,0.837742092440611,"landsat 8","crop",2013,215,0.832458800706563,0.0052832917340484,0.832458800706563,0.837742092440611
2013-08-10,0.838479063747613,"landsat 8","crop",2013,222,0.843886196752861,-0.00540713300524798,0.843886196752861,0.838479063747613
2013-08-12,0.85365528482934,"landsat 8","crop",2013,224,0.844596162759375,0.00905912206996551,0.844596162759375,0.85365528482934
2013-08-19,0.802699722464171,"landsat 8","crop",2013,231,0.838132809187464,-0.0354330867232926,0.838132809187464,0.802699722464171
2013-08-26,0.799907310938209,"landsat 8","crop",2013,238,0.818075332393754,-0.0181680214555449,0.818075332393754,0.799907310938209
2013-08-28,0.793505181444152,"landsat 8","crop",2013,240,0.809951857439547,-0.0164466759953946,0.809951857439547,0.793505181444152
2013-09-04,0.77403568396109,"landsat 8","crop",2013,247,0.77372054646019,0.000315137500899954,0.77372054646019,0.77403568396109
2013-09-11,0.762067717186916,"landsat 8","crop",2013,254,0.726645297448846,0.0354224197380703,0.726645297448846,0.762067717186916
2013-09-13,0.657700812284508,"landsat 8","crop",2013,256,0.711505931386618,-0.0538051191021101,0.711505931386618,0.657700812284508
2013-09-27,0.531620715551632,"landsat 8","crop",2013,270,0.592061928615866,-0.0604412130642339,0.592061928615866,0.531620715551632
2013-09-29,0.531620715551632,"landsat 8","crop",2013,272,0.574103332389504,-0.0424826168378719,0.574103332389504,0.531620715551632
2013-10-06,0.490331882172966,"landsat 8","crop",2013,279,0.512376508970075,-0.0220446267971093,0.512376508970075,0.490331882172966
2013-10-13,0.486189684338462,"landsat 8","crop",2013,286,0.455558563867979,0.0306311204704834,0.455558563867979,0.486189684338462
2013-10-22,NA,"landsat 8","crop",2013,295,0.395427947705893,NA,0.395427947705893,NA
2013-10-29,NA,"landsat 8","crop",2013,302,0.361521204230917,NA,0.361521204230917,NA
2013-11-07,0.332810061699467,"landsat 8","crop",2013,311,0.335101189425695,-0.00229112772622847,0.335101189425695,0.332810061699467
2013-11-14,0.332584050838288,"landsat 8","crop",2013,318,0.325992504254559,0.00659154658372868,0.325992504254559,0.332584050838288
2013-11-23,0.317938338745651,"landsat 8","crop",2013,327,0.323969332393352,-0.00603099364770149,0.323969332393352,0.317938338745651
2013-11-30,0.311883873182206,"landsat 8","crop",2013,334,0.325815648528886,-0.0139317753466798,0.325815648528886,0.311883873182206
2013-12-02,0.280266136423989,"landsat 8","crop",2013,336,0.32643244411665,-0.0461663076926609,0.32643244411665,0.280266136423989
2013-12-09,0.363001972445244,"landsat 8","crop",2013,343,0.327908751652868,0.0350932207923759,0.327908751652868,0.363001972445244
2013-12-16,0.38593478702035,"landsat 8","crop",2013,350,0.327587987968539,0.058346799051811,0.327587987968539,0.38593478702035
2013-12-18,0.506773177613184,"landsat 8","crop",2013,352,0.327145384967938,0.179627792645246,0.327145384967938,0.506773177613184
2014-01-03,NA,"landsat 8","crop",2014,3,0.311237268816086,NA,0.311237268816086,NA
2014-01-17,0.368222162903597,"landsat 8","crop",2014,17,0.317163251647729,0.0510589112558681,0.317163251647729,0.368222162903597
2014-01-19,0.368222162903597,"landsat 8","crop",2014,19,0.317327634918742,0.0508945279848547,0.317327634918742,0.368222162903597
2014-02-02,0.531219646334648,"landsat 8","crop",2014,33,0.309244614659912,0.221975031674736,0.309244614659912,0.531219646334648
